Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27
CDAY,Ceridian,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",55,52,40,37,41,46,42,43,40,35,33,32,33,36,39,34,31,30,30,36,31,36,41,44,41,36,40,45,48,48,47,47,49,51,49,49,49,44,41,37,42,38,38,39
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",41,46,58,60,57,61,60,61,56,57,52,53,52,52,57,60,62,65,66,63,58,55,50,54,50,54,49,51,47,43,47,52,47,43,46,47,50,49,46,41,46,46,45,44
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",56,56,47,50,53,56,58,56,55,51,49,44,45,47,48,51,56,51,55,55,50,49,49,52,48,51,47,52,51,53,48,45,41,40,35,31,30,32,30,34,38,36,35,35
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",45,40,41,43,44,39,42,42,38,37,33,30,30,30,32,31,30,34,32,35,32,32,30,30,35,38,39,37,39,40,35,34,34,35,38,35,30,30,32,30,30,35,36,36
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",53,57,55,58,60,57,59,54,55,59,56,61,62,58,61,58,61,59,55,56,54,49,47,43,38,42,42,44,40,36,34,33,38,39,40,45,48,46,46,42,37,36,34,33
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",55,60,42,45,48,51,53,55,57,53,55,57,62,67,70,68,70,66,70,66,64,65,64,69,70,70,65,64,59,57,59,55,53,58,53,56,55,52,49,44,41,39,40,42
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",51,56,44,49,49,52,53,56,59,56,58,63,60,55,50,47,42,42,43,39,44,41,44,39,39,40,41,43,41,39,42,38,38,41,41,46,45,43,44,40,35,32,37,35
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",57,61,44,49,49,46,51,49,48,51,55,57,53,56,60,63,61,59,63,67,63,64,61,58,63,67,69,70,69,69,68,67,68,65,64,63,67,70,66,70,70,65,67,70
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",44,41,48,50,47,51,48,50,45,48,43,41,37,38,39,38,42,47,42,49,48,46,45,42,39,38,36,41,36,41,38,34,31,31,32,32,30,34,30,30,30,30,35,32
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",55,52,50,48,49,48,51,56,51,49,51,49,45,40,39,42,47,42,43,43,41,46,49,52,52,56,61,65,63,64,60,63,59,59,60,60,63,58,62,67,63,59,58,55
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",40,41,43,39,43,48,45,40,42,43,40,41,39,44,39,36,31,33,36,33,33,34,35,39,43,48,49,46,51,54,50,53,51,48,52,49,50,46,41,38,42,42,46,48
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",44,39,51,47,46,48,50,50,45,49,44,47,44,49,52,54,49,46,43,48,49,45,44,43,38,40,38,40,36,34,32,35,38,36,34,35,34,30,34,30,34,34,30,33
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",43,41,54,59,59,56,52,57,58,62,67,70,69,65,60,56,55,52,55,58,62,60,62,66,70,68,68,64,63,64,61,56,57,61,64,65,67,69,66,70,70,70,70,70
C,Citigroup,Financials,Diversified Banks,"New York City, New York",59,64,46,47,47,47,52,54,55,52,54,57,59,64,65,68,70,70,70,70,69,65,61,62,58,59,55,59,55,50,48,49,54,55,56,60,58,60,55,60,63,58,61,59
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",48,50,59,62,60,56,56,58,55,55,60,55,59,58,55,52,55,58,56,57,57,56,54,55,56,60,58,59,59,57,53,49,47,42,39,35,30,30,33,30,30,34,36,36
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",45,50,50,55,58,58,60,60,56,59,61,61,61,61,57,59,64,60,59,60,63,63,66,68,64,67,70,70,70,69,70,68,65,65,63,64,63,67,66,65,67,67,70,66
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",59,56,53,57,52,56,60,63,58,59,56,55,53,51,53,56,58,55,58,57,60,55,52,49,54,58,58,62,57,58,60,56,56,56,55,52,47,47,49,49,53,54,54,53
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",50,53,47,42,40,40,37,34,35,40,44,39,34,39,41,42,37,34,31,42,42,47,44,49,50,45,40,45,45,45,41,39,35,38,34,38,41,36,32,31,35,37,34,33
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",54,53,43,43,43,39,39,34,30,30,31,33,32,37,38,39,43,46,48,46,42,45,44,40,39,38,34,39,36,40,35,34,38,41,46,44,48,44,41,42,43,39,39,37
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",40,41,46,46,44,48,51,49,52,53,53,53,54,58,54,53,57,54,50,55,51,46,45,50,50,50,49,44,39,36,32,30,30,30,30,30,30,34,35,33,37,33,38,35
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",53,52,61,66,67,68,63,62,57,53,54,56,55,57,53,58,63,67,70,59,57,54,50,54,49,49,54,51,56,61,59,62,66,67,67,70,70,70,70,70,69,70,69,69
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",40,39,62,60,65,70,68,64,59,58,61,57,61,66,68,70,70,65,60,70,67,69,68,67,62,60,60,56,57,57,52,50,52,56,58,59,56,52,57,60,60,62,61,60
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",56,59,43,47,46,47,48,49,54,55,53,49,54,54,54,51,54,52,57,53,48,48,52,57,56,54,54,49,45,44,43,45,42,41,41,44,45,41,39,39,40,45,46,51
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",53,51,63,60,59,61,61,65,60,62,65,67,70,70,70,67,68,69,65,66,66,64,60,58,56,54,51,53,55,60,56,57,54,56,56,58,59,56,59,59,61,59,54,58
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",47,44,53,48,48,52,57,59,63,58,56,52,55,54,52,51,53,48,49,50,50,48,52,48,53,57,61,60,55,57,56,53,54,51,47,49,47,49,53,53,48,45,45,48
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",49,44,47,45,50,48,47,47,48,51,48,47,45,41,43,38,40,35,34,41,36,37,41,44,41,44,43,42,38,41,40,40,45,48,52,47,43,43,42,47,43,38,43,44
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",60,56,59,64,61,65,68,66,62,66,63,58,53,49,44,43,38,40,45,37,34,30,30,35,39,42,45,48,46,50,48,51,47,42,46,49,45,49,52,50,53,58,63,68
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",54,59,35,34,37,42,40,40,43,40,43,40,41,46,45,49,53,50,46,54,55,52,56,54,57,58,55,58,53,53,57,56,57,53,51,54,54,49,52,49,45,40,38,42
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",57,57,58,60,56,56,51,54,54,56,51,56,58,54,58,62,59,60,63,69,70,70,70,68,67,62,63,65,64,59,56,57,59,58,59,56,52,53,58,53,51,55,53,56
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",49,44,52,54,56,58,61,63,64,66,64,59,57,54,50,50,49,53,57,52,50,48,45,41,38,40,37,41,43,43,39,39,34,34,32,35,38,34,31,33,31,31,30,32
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",45,44,58,60,57,58,54,49,44,49,54,49,51,53,50,55,53,48,52,49,44,43,43,46,50,54,59,62,59,59,63,61,57,59,55,56,52,54,49,51,53,57,53,56
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",40,38,48,49,54,49,48,53,58,58,63,63,60,61,62,58,56,58,56,62,63,60,64,64,62,63,67,67,70,70,67,70,68,68,70,70,70,70,70,69,70,68,65,65
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",59,58,50,48,49,52,49,44,45,49,44,44,43,41,45,48,51,47,43,49,49,44,42,43,41,40,44,44,41,45,50,49,44,48,53,56,61,64,67,67,65,61,58,61
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",45,41,55,50,51,55,59,60,65,66,66,61,63,60,60,61,58,54,54,62,63,60,59,63,59,54,50,49,49,45,49,47,49,54,50,52,54,52,56,54,50,53,55,50
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",54,51,44,44,47,52,53,58,61,56,55,53,56,56,58,53,51,49,44,42,43,39,40,43,42,45,45,40,38,41,45,42,46,50,52,54,52,53,57,59,55,54,52,49
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",59,55,55,54,52,49,46,42,39,40,44,42,45,46,48,50,46,48,43,41,40,40,45,48,52,52,48,45,46,50,45,49,46,46,41,42,41,46,46,50,46,46,42,39
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida",51,53,44,39,39,36,32,30,33,34,32,37,41,41,46,42,41,36,39,31,30,30,32,35,34,31,30,30,30,34,30,30,30,30,30,34,39,34,39,43,47,43,48,46
CMI,Cummins,Industrials,Industrial Machinery & Supplies & Components,"Columbus, Indiana",49,49,40,37,40,39,37,35,35,35,40,42,39,35,35,37,35,36,33,39,39,37,33,31,30,30,30,30,30,30,30,30,30,33,31,30,31,30,30,30,30,33,32,32
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",42,47,45,45,48,46,41,41,46,44,49,44,46,45,44,46,43,47,44,42,46,49,51,51,50,50,46,51,46,49,48,44,40,44,41,46,41,41,46,46,43,41,44,40
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",60,65,52,47,45,41,38,38,39,40,39,41,42,41,39,38,37,34,39,30,33,33,30,30,30,30,31,30,30,31,35,30,30,33,31,30,31,30,30,30,30,30,30,30
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",44,49,50,50,51,53,58,54,50,54,49,50,47,47,46,48,47,42,46,41,36,41,40,35,30,32,30,30,30,35,33,30,30,30,30,30,31,30,35,32,32,35,39,42
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",46,41,50,47,45,48,46,43,42,42,43,43,48,47,42,42,43,47,45,45,40,35,30,30,30,30,30,30,30,30,30,33,30,31,33,38,36,35,40,39,38,43,46,45
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",53,51,57,62,59,62,62,67,68,66,61,64,61,62,59,60,59,60,65,59,60,55,53,52,47,47,47,51,48,43,46,46,51,46,45,41,40,38,39,35,32,30,35,38
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",49,45,48,46,49,44,40,45,42,40,38,43,46,47,45,43,43,42,44,36,37,40,40,37,32,30,32,32,35,40,45,48,46,42,44,45,42,42,38,36,37,38,34,34
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",57,57,42,41,43,48,52,48,45,47,50,48,51,55,51,56,60,64,66,60,64,63,65,65,64,63,67,65,68,70,70,65,69,67,70,70,68,68,70,70,65,67,68,70
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",44,48,63,63,62,59,61,58,59,61,56,57,58,56,52,56,58,62,62,58,53,57,52,53,58,55,55,58,63,58,54,49,53,56,57,53,53,55,56,53,51,46,44,43
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",52,53,55,56,51,56,61,63,66,69,70,70,67,64,61,65,62,62,64,59,61,62,63,64,61,57,53,54,49,50,48,47,47,48,43,39,37,40,44,49,46,47,45,40
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",57,59,51,46,49,49,50,53,55,56,58,60,62,67,64,69,70,70,65,62,58,56,54,54,58,61,64,69,64,60,60,65,63,59,54,59,58,62,61,60,57,58,63,58
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",50,50,55,51,56,56,60,56,58,62,64,61,56,58,54,54,55,50,48,42,47,52,51,50,54,52,57,62,62,59,57,53,49,54,49,49,46,42,40,43,40,37,36,33
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",43,40,50,54,53,50,51,52,55,52,54,58,56,59,63,59,61,60,62,57,55,60,61,63,61,63,66,64,60,63,58,58,60,56,54,52,57,62,63,62,59,56,59,56
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",57,54,55,59,62,58,63,60,57,53,55,52,47,44,39,38,40,39,41,43,48,50,55,50,49,53,50,52,54,52,50,49,44,47,51,46,47,49,47,43,40,40,43,44
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",60,60,55,52,50,46,43,47,51,55,56,56,53,55,50,47,42,40,37,37,41,40,38,36,34,38,34,33,30,30,30,32,32,33,34,37,37,42,46,50,48,44,39,36
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",60,56,45,50,54,58,60,56,57,57,54,54,53,52,56,52,51,52,52,47,50,52,49,52,48,50,50,46,45,49,53,54,55,60,56,54,57,54,57,61,60,63,61,60
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",58,63,53,52,48,45,41,40,45,45,42,47,46,51,52,50,45,50,53,53,52,55,50,52,52,53,53,55,52,56,59,58,63,68,70,69,69,70,70,67,66,66,66,68
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",52,52,37,40,37,39,38,40,42,37,40,42,38,38,40,45,49,44,46,40,45,47,42,42,45,50,48,46,49,49,47,42,47,46,42,39,34,34,37,38,33,30,30,33
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",49,52,47,48,49,47,43,41,46,41,38,40,43,39,39,35,30,32,30,30,30,30,30,30,30,31,36,33,33,30,30,34,32,30,35,32,35,32,37,37,34,39,36,36
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",46,43,44,40,44,49,49,53,58,56,58,58,56,52,54,49,45,50,52,47,43,48,47,46,42,38,35,30,30,35,31,31,36,34,37,34,37,37,40,41,36,40,44,47
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",54,54,56,52,52,49,50,45,46,46,46,47,43,39,37,39,42,38,41,36,35,33,36,38,33,37,34,31,35,33,30,30,30,35,34,36,33,37,33,30,30,30,30,32
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",45,40,55,53,53,48,51,50,48,43,39,35,39,42,44,42,44,41,41,38,38,40,36,41,42,39,37,34,38,43,40,40,39,43,43,44,39,40,40,44,39,40,44,39
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",53,55,62,67,70,66,70,69,64,63,60,62,59,58,58,54,56,60,55,63,62,57,57,57,60,55,58,59,62,66,61,65,62,65,61,65,61,62,57,56,58,53,52,49
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",44,43,49,51,56,53,54,49,46,51,54,59,54,49,51,46,42,39,38,34,32,30,34,34,32,37,34,34,30,30,34,34,36,41,44,39,39,40,43,46,51,47,51,54
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",57,61,36,34,30,30,33,34,37,32,34,38,40,43,39,40,38,33,35,33,33,30,32,30,31,34,37,39,34,30,30,30,35,39,36,31,30,33,37,36,33,30,30,30
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",50,48,59,54,50,49,46,50,54,55,58,61,66,69,68,69,70,70,70,65,70,66,70,70,70,65,68,70,70,70,67,67,63,58,53,54,52,48,50,46,45,48,50,50
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",45,49,41,44,45,45,40,35,34,33,37,40,37,38,35,33,33,37,39,40,39,38,40,42,38,35,31,30,32,30,30,30,30,31,30,35,30,33,33,30,30,34,32,37
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",49,45,46,44,41,46,43,38,41,43,43,48,51,47,48,45,42,47,48,48,53,50,48,51,51,52,50,49,45,46,42,40,41,39,41,41,46,46,43,42,46,45,44,40
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",41,37,52,50,46,51,56,53,55,60,56,53,54,51,51,51,50,48,49,48,46,51,56,60,57,54,50,45,42,47,45,48,43,43,47,49,52,56,58,60,61,57,59,61
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",59,59,56,60,57,57,59,58,63,62,64,66,66,70,70,68,70,70,67,70,70,70,70,70,70,70,70,66,64,63,60,56,53,48,43,43,40,44,49,54,52,52,53,49
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",54,58,40,44,44,45,40,36,34,33,30,30,30,30,30,30,30,30,30,33,30,30,33,32,35,32,37,38,34,35,33,32,30,33,38,36,34,36,32,35,39,40,42,46
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",46,51,47,49,52,48,43,44,41,41,41,36,33,38,38,36,41,45,49,49,46,48,48,50,53,53,48,48,44,41,45,43,47,51,56,52,52,47,47,43,41,45,45,45
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",48,44,59,56,56,61,60,63,68,65,61,64,69,70,70,68,68,67,66,63,60,62,64,59,58,54,54,53,48,49,47,48,45,45,46,51,51,46,43,41,45,47,51,52
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",48,51,46,43,41,46,51,54,54,57,60,56,58,63,65,63,67,70,65,67,66,61,64,61,60,55,56,58,63,63,59,57,52,47,50,55,50,46,50,52,50,50,53,55
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",42,43,63,68,69,66,69,64,65,70,70,70,70,70,70,65,64,69,66,67,65,69,68,70,69,64,64,65,69,70,70,67,70,70,70,70,70,70,70,70,65,67,70,70
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",44,47,56,56,53,50,45,50,49,46,47,51,53,54,51,55,55,59,62,61,56,54,53,51,55,60,62,57,52,57,62,62,59,54,53,58,62,58,58,55,57,62,62,59
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",56,61,55,52,47,49,52,51,48,50,48,44,42,47,45,42,37,38,34,32,31,30,30,30,34,30,35,32,30,30,30,30,30,31,30,35,36,36,39,37,34,38,39,37
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",46,46,60,65,60,60,65,67,62,59,58,60,62,59,63,59,62,57,53,47,47,44,44,43,38,41,45,50,51,56,52,52,57,56,53,58,61,64,67,70,70,67,70,70
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",48,50,54,57,60,62,66,66,70,70,68,70,70,70,65,70,70,70,70,68,68,66,69,70,70,65,62,63,59,58,56,58,61,61,59,61,63,58,55,57,54,49,48,48
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",40,41,42,40,36,32,35,36,33,36,34,30,30,35,35,32,30,30,35,30,30,33,35,36,40,45,41,46,46,49,52,47,52,52,54,54,50,45,50,45,49,50,51,55
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",54,53,61,62,59,54,50,46,46,50,50,47,44,49,53,58,54,53,53,47,43,38,39,44,46,45,47,51,47,46,50,48,53,51,56,51,53,58,56,57,62,57,54,52
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",46,50,44,47,51,53,57,53,53,55,52,53,58,55,51,51,53,57,56,54,53,52,51,54,59,61,63,58,53,56,60,64,69,70,65,64,62,66,70,69,65,70,70,66
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",54,54,49,54,59,63,67,65,60,55,59,63,62,63,68,63,65,66,63,66,64,64,68,70,65,70,67,69,70,67,68,70,70,70,70,70,70,70,70,66,69,67,67,65
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",47,43,41,36,39,34,30,33,31,36,40,45,41,40,35,39,39,38,33,46,51,46,49,44,44,46,49,47,52,57,61,56,58,62,62,60,62,65,61,66,67,70,70,68
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",56,55,58,55,53,52,50,48,52,54,56,51,47,47,44,44,44,41,43,42,39,35,39,42,37,34,30,30,30,30,33,32,30,31,31,30,34,35,33,30,33,30,30,34
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",48,46,52,53,49,49,53,54,51,54,55,57,57,58,53,48,50,51,50,49,47,45,42,39,34,39,36,38,38,37,34,33,38,37,37,32,30,35,31,30,34,30,33,32
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",51,47,49,49,45,46,48,44,48,47,51,48,44,47,51,49,52,52,50,52,48,44,45,40,40,37,37,33,34,35,38,37,42,47,45,41,44,43,45,50,47,49,44,47
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",47,49,55,56,54,53,54,49,45,46,49,48,48,50,52,57,61,66,63,66,66,65,70,70,69,64,60,60,56,61,58,58,57,61,62,64,59,61,60,56,59,62,63,59
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",42,47,40,37,38,36,33,35,35,40,44,39,39,41,42,42,45,47,51,48,43,41,43,46,51,48,50,47,42,37,34,31,30,30,30,30,34,34,32,36,35,33,31,30
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",56,61,55,51,50,53,50,50,55,57,55,54,59,61,60,60,55,60,60,61,63,59,58,56,61,63,65,63,59,61,65,62,65,64,64,59,55,58,61,57,59,56,51,53
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",46,48,61,60,64,61,58,60,61,57,56,61,60,60,58,57,61,65,62,67,69,70,67,70,69,70,65,67,67,63,62,63,58,61,65,62,62,61,62,66,70,65,60,63
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",51,55,53,48,51,49,51,53,51,55,56,55,58,62,61,63,63,67,70,65,67,68,68,70,65,63,68,63,66,61,61,65,68,65,61,65,67,70,70,70,69,66,68,65
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",50,49,42,46,45,47,42,47,46,45,41,40,41,37,41,42,39,42,41,43,41,43,42,38,37,39,35,33,31,30,30,34,38,33,31,31,35,31,30,32,30,30,35,34
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",57,59,70,70,70,66,68,69,70,67,70,70,67,65,63,68,64,66,66,60,55,50,55,59,64,61,61,65,62,63,67,70,70,70,70,66,64,63,61,66,67,68,70,67
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",58,54,58,56,60,57,56,61,62,66,61,60,64,66,68,70,70,70,65,65,70,70,67,69,70,69,64,66,62,67,68,70,70,65,64,59,61,56,61,64,62,58,58,60
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",50,49,43,47,43,39,37,37,37,42,38,40,40,39,40,43,46,43,43,45,46,41,45,49,48,47,52,51,50,53,58,58,61,65,61,57,55,58,59,60,58,59,54,54
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",54,49,50,54,53,53,52,48,50,51,46,41,43,43,41,43,48,49,50,52,50,45,41,40,37,37,34,39,39,44,40,40,39,35,30,31,30,34,34,37,33,30,31,30
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",48,53,52,49,54,49,45,40,39,37,33,36,40,40,37,33,34,30,30,31,30,33,32,31,30,32,34,33,32,36,41,37,35,38,38,42,45,47,43,46,49,44,48,52
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",47,46,47,48,53,58,62,59,62,58,61,56,57,56,57,53,52,56,60,60,58,53,51,46,50,49,54,55,53,54,51,52,47,49,51,51,51,53,48,43,48,52,56,59
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",55,55,54,56,56,59,57,55,50,55,50,55,59,64,68,70,70,68,69,67,69,70,70,70,65,70,65,60,63,60,64,61,62,60,62,60,58,58,58,61,57,57,58,57
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",49,47,38,40,36,38,36,38,33,36,35,39,38,42,41,42,44,49,45,59,57,57,61,58,62,64,69,64,59,54,56,56,55,60,59,62,59,54,56,52,49,47,51,51
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",53,53,61,65,65,67,68,70,70,65,68,67,66,67,70,68,66,62,61,67,70,69,70,70,70,70,70,70,70,70,67,70,67,63,67,70,69,70,70,67,69,66,69,64
FIS,FIS,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",57,56,63,67,65,60,57,54,53,49,52,48,44,42,38,36,41,42,44,49,44,46,50,55,50,47,43,48,43,48,50,55,51,46,50,45,43,46,48,47,42,41,43,45
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",56,52,41,46,50,48,45,44,43,45,50,49,44,45,50,50,45,46,48,55,52,49,44,42,46,42,47,48,50,50,47,50,52,54,57,60,64,68,63,65,66,68,63,61
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",53,51,42,43,41,46,42,39,36,37,42,39,39,44,43,44,48,43,44,44,44,39,42,40,44,41,36,40,42,46,46,41,40,38,42,39,40,41,39,43,47,43,39,35
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",56,60,57,52,47,48,43,41,45,47,51,50,48,46,48,49,54,56,52,66,70,70,69,70,67,68,63,66,70,70,70,70,70,70,67,70,69,64,66,62,64,62,65,64
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",58,57,39,34,37,39,44,49,50,48,48,43,43,44,44,40,41,39,42,35,35,31,33,35,32,34,36,32,35,31,30,30,31,31,30,31,30,35,33,30,30,31,30,32
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",46,46,61,63,63,68,70,70,69,70,69,66,70,70,65,70,70,70,65,68,68,66,70,70,70,70,70,70,68,65,66,70,70,70,70,70,70,69,70,67,69,66,66,70
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",57,57,50,52,55,52,51,56,53,49,52,49,47,51,48,46,50,49,48,51,46,50,46,49,45,44,42,37,35,32,30,30,30,35,39,34,31,34,32,30,30,30,34,38
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",52,48,56,52,56,60,55,50,53,48,50,51,48,52,51,55,51,49,44,48,47,44,46,49,44,48,44,44,44,40,36,34,32,31,30,30,31,31,32,32,32,35,35,39
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",59,59,45,48,47,42,46,41,45,47,48,51,47,49,47,52,53,53,53,57,60,61,61,59,59,64,65,60,62,62,65,62,58,57,54,58,55,55,51,48,50,52,52,52
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",47,42,47,46,42,38,35,35,33,32,32,30,35,36,33,33,34,32,36,33,34,34,31,30,30,30,30,30,30,30,30,34,35,36,39,42,41,44,40,45,46,49,51,56
